scheme_name,eligibility_text,question,actual_data,normal_question,abc,A,B,C,D
Aaloo Ke Kufri Chipsona-1 Prabhed Ke Kshetra Vistaar Yojana,Land area between 0.25 acres and 5 acres,How many acres of land does the person own?,land_owned_acres,How many acres of land do you own?,,How many acres of land do you own or not own?,-,-,-
Aaloo Ke Kufri Chipsona-1 Prabhed Ke Kshetra Vistaar Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Aaloo Ke Kufri Chipsona-1 Prabhed Ke Kshetra Vistaar Yojana,Registered on the Direct Benefit Transfer (DBT) portal,Are you registered on the Direct Benefit Transfer (DBT) portal?,dbt_registered,Are you registered on the Direct Benefit Transfer (DBT) portal?,,Are you registered on the Direct Benefit Transfer (DBT) portal?,-,-,-
Aaloo Ke Kufri Chipsona-1 Prabhed Ke Kshetra Vistaar Yojana,Farmer,Are you a farmer?,occupation_farmer,Are you a farmer?,,occupation,Farmer,"land in Bihar(Define place of farm)?, How many acres of land do you cultivate?,Are you registered on DBT portal as a farmer?",-
Alpsankhyak Muslim Parityaqta/Talaqshuda Mahila Sahayata Yojana,Muslim woman from a minority community,Do you belong to the following category: MINORITY?,Belong to_minority community,Muslim woman from a minority community?,,Do you belong to a minority community?,-,-,-
Alpsankhyak Muslim Parityaqta/Talaqshuda Mahila Sahayata Yojana,Age between 18 and 50 years,Are you age between 18 and 50 years?,Age,What is your age?,,What is your age?,-,-,-
Alpsankhyak Muslim Parityaqta/Talaqshuda Mahila Sahayata Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Alpsankhyak Muslim Parityaqta/Talaqshuda Mahila Sahayata Yojana,"Divorced, abandoned (2+ years), or husband mentally handicapped","Are you divorced, abandoned (2+ years), or husband mentally handicapped?","marital_status_Divorced, abandoned (2+ years), or husband mentally handicapped","Divorced, abandoned (2+ years), or husband mentally handicapped?",,What is your current marital status?,"Unmarried, Married,Divorced,Widowed,Abandoned / separated,remarried,inter-caste marriage,marriage registered, husband mentally handicapped",-,-
Alpsankhyak Muslim Parityaqta/Talaqshuda Mahila Sahayata Yojana,"Annual family income less than ₹4,00,000",Is your annual family income less than or equal to ₹4?,Family Income Annual,"Annual family income less than ₹4,00,000?",,Annual family income ?,-,-,-
Alpsankhyak Muslim Parityaqta/Talaqshuda Mahila Sahayata Yojana,Must not have remarried,Are you must not have remarried?,marital_status_remarried,Must not have remarried?,,What is your current marital status?,"Unmarried, Married,Divorced,Widowed,Abandoned / separated,remarried,inter-caste marriage,marriage registered, husband mentally handicapped",-,-
Alpsankhyak Muslim Parityaqta/Talaqshuda Mahila Sahayata Yojana,Widows are not eligible,Are you widows are not eligible?,marital_status_widow,Are you a widow?,,What is your current marital status?,"Unmarried, Married,Divorced,Widowed,Abandoned / separated,remarried,inter-caste marriage,marriage registered, husband mentally handicapped",-,-
Annual Medical Assistance Scheme (BBOCWWB),Construction worker registered with BBOCWWB,Are you a construction worker registered with the board?,occupation_construction_worker,Are you engaged in building or construction work?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Annual Medical Assistance Scheme (BBOCWWB),Minimum one year of membership,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,occupation_construction_worker - membership period,Minimum one year of membership?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Annual Medical Assistance Scheme (BBOCWWB),Active membership at time of application,Are you a registered member of Bihar Building & Other Construction Workers Welfare Board (BBOCWWB)?,occupation_construction_worker - Active menbership or not,Active membership at time of application?,,occupation,Construction worker,Are you registered with BBOCWWB? Is your membership active at present? How many years of continuous membership do you have?,-
Antarjatiye Vivah Protsahan Anudan Yojana,Bride and groom must be residents of Bihar,Are you bride and groom must be residents of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Antarjatiye Vivah Protsahan Anudan Yojana,Marriage must be inter-caste,Are you marriage must be inter-caste?,marital_status_intercaste,Marriage must be inter-caste?,,What is your current marital status?,"Unmarried, Married,Divorced,Widowed,Abandoned / separated,remarried,inter-caste marriage,marriage registered, husband mentally handicapped",-,-
Antarjatiye Vivah Protsahan Anudan Yojana,"Bride age 18+, Groom age 21+",Are you 18 years old or above?,Age,What is your age?,,What is your age?,-,-,-
Antarjatiye Vivah Protsahan Anudan Yojana,Must belong to poor families,Do you belong to the following category: ST?,Belong to_Below Poverty Line (BPL) family,Must belong to poor families?,,What is your economic status?,Ultra-poor / below poverty line (BPL) / Above Poverty Line (APL),-,-
Anya Pichhda Varg Kalyan Chhatravaas,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Anya Pichhda Varg Kalyan Chhatravaas,Belong to Backward Class (BC) or Extremely Backward Class (EBC),"Do you belong to the following category: BC, EBC?",Belong to_Backward Class (BC) or Extremely Backward Class (EBC),Belong to Backward Class (BC) or Extremely Backward Class (EBC)?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
Anya Pichhda Varg Kalyan Chhatravaas,Aged between 11 and 40 years,Is your age between 11 and 40 years?,Age,What is your age?,,What is your age?,-,-,-
BC & EBC Girls Residential +2 High School,"Age limits: 11-13 (Class 6), 12-14 (Class 7), 13-15 (Class 8), 14-16 (Class 9)","Are you age limits: 11-13 (Class 6), 12-14 (Class 7), 13-15 (Class 8), 14-16 (Class 9)?",Age,What is your age?,,What is your age?,-,-,-
BC & EBC Girls Residential +2 High School,Girl student resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
BC & EBC Girls Residential +2 High School,Belong to Backward Class (BC) or Extremely Backward Class (EBC),"Do you belong to the following category: BC, EBC?",Belong to_Backward Class (BC) or Extremely Backward Class (EBC),Belong to Backward Class (BC) or Extremely Backward Class (EBC)?,,What is your social category?,SC / ST / OBC / BC / EBC / General,-,-
BC & EBC Girls Residential +2 High School,Class 6 to Class 12 student,Are you class 6 to Class 12 student?,Educational qualification: (Class 6 to Class 12 student),Class 6 to Class 12 student?,,What is your current / highest education level?,"class- 6,7,8,9,10,11,12,graduated , ITI, Polytechnic Diploma,other(specify)",-,-
BC & EBC Girls Residential +2 High School,"Annual family income not exceeding ₹3,00,000",Is your annual family income less than or equal to ₹3?,Family Income Annual,"Annual family income not exceeding ₹3,00,000?",,Annual family income ?,-,-,-
Beej Masaale Ki Yojana,Must be a farmer with land between 0.25 acres and 10 acres,How many acres of land does the person own?,occupation farmer -land owned acres,Must be a farmer with land between 0.25 acres and 10 acres?,,occupation,Farmer,"land in Bihar(Define place of farm)?, How many acres of land do you cultivate?,Are you registered on DBT portal as a farmer?",-
Beej Masaale Ki Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Beej Masaale Ki Yojana,Registered on the Direct Benefit Transfer (DBT) portal,Are you registered on the Direct Benefit Transfer (DBT) portal?,dbt_registered,Are you registered on the Direct Benefit Transfer (DBT) portal?,,Are you registered on the Direct Benefit Transfer (DBT) portal?,-,-,-
Bhraman - Darshan Yojana,Must be a resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Bhraman - Darshan Yojana,"Must work in private, leased, or government ponds/watersheds","Do you own or lease the required land/pond as described (Must work in private, leased, or government ponds/watersheds)?",Other - Pond,"Must work in private, leased, or government ponds/watersheds?",,Do you own or lease land for fish pond construction?,-,-,-
Bhraman - Darshan Yojana,Must be an active member of Block Level Fishermen Cooperation Committees,Are you an active member of a Block Level Fishermen Cooperative Committee?,Other -fisher_cooperative_member,Are you an active member of the Block Level Fishermen Cooperative?,,Do you own or lease land for fish pond construction?,Active member of Block Level Fishermen Cooperation Committees?,-,-
Bhraman - Darshan Yojana,Must have undergone training under departmental schemes,Are you must have undergone training under departmental schemes?,Other - training_completed (undergone under departmental schemes),Must have undergone training under departmental schemes?,,Do you own or lease land for fish pond construction?,Have you completed training under any departmental scheme?,-,-
Bhraman - Darshan Yojana,Benefit can be availed only once,Are you benefit can be availed only once?,Other,Have you already availed this benefit earlier?,,Do you own or lease land for fish pond construction?,Have you already received this benefit earlier?,-,-
Bihar Rajya Fasal Sahayata Yojna,Farmer cultivating own land or others' land in Bihar,How many acres of land does the person lease?,occupation farmer -cultivating own land or others' land in Bihar,Farmer cultivating own land or others' land in Bihar?,,occupation,Farmer,"land in Bihar(Define place of farm)?, How many acres of land do you cultivate?,Are you registered on DBT portal as a farmer?",-
Bihar Rajya Fasal Sahayata Yojna,Crop damage due to natural calamities in notified areas,Is crop damage due to natural calamities considered for assistance in notified areas?,occupation farmer -Crop damage,Crop damage due to natural calamities in notified areas?,,occupation,Farmer,Crop damage due to natural calamities? And percentage of crop damage?,-
Bihar Shatabdi AIDS Pirit Kalyan Yojana,Resident of Bihar,Are you a resident of Bihar?,state_bihar,Are you a resident of Bihar?,,Are you a resident of Bihar?,-,-,-
Bihar Shatabdi AIDS Pirit Kalyan Yojana,Confirmed AIDS patient,Are you confirmed AIDS patient?,medical diseases - (aids),Confirmed AIDS patient?,,have any of the following medical conditions?,"Cancer,Heart disease,HIV / AIDS,Leprosy,Other serious / incurable disease,None of the above",-,-
Bihar Shatabdi AIDS Pirit Kalyan Yojana,Aged 18 years or older,Are you aged 18 years or older?,Age,What is your age?,,What is your age?,-,-,-
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Death,Worker or craftsman in unorganized sector,Do you work as worker or craftsman in unorganized sector?,occupation_Worker or craftsman in unorganized sector,Worker or craftsman in unorganized sector?,,occupation,Unorganised sector worker / craftsman,-,-
